age,total_children,feelings_life,sex,pop_center,education,self_rated_health,self_rated_mental_health,regilion_importance,income_family,income_respondent
72.8,3,10,0,3,7,1,4,2,6,6
44.3,3,9,0,3,6,4,3,4,4,4
63.3,2,4,1,3,4,5,2,2,1,1
65.3,1,8,1,3,2,4,4,3,3,1
59.8,2,4,0,2,4,1,2,3,2,2
50.6,2,7,0,3,1,3,3,4,3,1
69,0,8,0,3,6,3,4,2,6,3
36.3,1,7,1,3,2,4,4,4,2,2
52.1,5,8,1,3,4,5,5,2,1,1
55.3,2,7,1,3,3,2,5,4,5,4
39.7,1,9,1,3,6,3,4,2,5,4
38.5,2,7,1,3,6,4,4,2,1,1
39.9,0,6,1,3,3,3,3,1,2,2
30.7,0,8,1,2,4,3,3,1,2,2
51.7,0,9,1,3,4,3,4,2,3,2
24.5,2,10,1,3,2,5,5,1,3,3
44.6,0,9,1,2,4,4,4,2,4,1
28.6,2,9,1,2,3,4,5,3,5,3
35.6,2,8,0,3,7,5,5,4,4,3
70.6,2,8,0,2,1,3,3,4,2,1
37.7,3,8,1,3,5,5,5,3,6,4
42,1,8,0,3,4,3,3,1,3,3
47.1,2,9,1,3,3,4,4,2,6,6
65.8,1,8,0,3,2,4,4,4,1,1
70.8,2,10,1,2,1,4,4,1,4,2
68.5,3,10,0,2,1,3,4,4,3,2
32.9,0,5,0,3,3,2,2,1,6,2
67,1,10,0,3,7,5,5,4,6,6
64.1,0,7,0,3,6,3,3,4,2,2
58.3,0,8,1,3,6,4,4,4,6,6
22.7,0,7,1,3,2,4,3,2,5,1
53.7,1,10,1,3,7,4,5,3,6,4
56.7,3,9,1,2,2,4,5,3,6,5
37.3,0,9,1,3,4,3,5,4,2,2
59.2,3,9,1,3,2,3,5,2,4,2
38.3,2,10,1,3,6,5,5,3,6,4
49.4,2,7,0,3,6,4,4,4,3,3
36.1,2,10,1,2,1,4,5,4,2,1
42.8,2,7,0,3,7,5,3,3,4,4
73.3,0,10,0,3,6,5,5,2,3,3
50.6,3,8,0,3,6,5,5,4,4,1
27.4,1,7,0,3,4,4,5,4,2,2
53,2,9,0,3,5,4,4,2,6,6
68.7,2,8,0,3,6,4,4,2,2,1
38.7,6,4,1,2,2,5,3,4,1,1
42.3,0,8,1,3,4,3,5,2,3,3
69.3,0,9,1,3,4,5,5,1,4,3
22,0,9,1,3,1,3,4,3,2,1
76.3,5,8,0,2,1,3,3,4,1,1
34.5,2,8,0,3,2,5,5,4,5,3
50.6,3,8,0,2,2,2,3,2,2,2
80,7,8,1,3,3,3,3,4,2,2
32.8,0,8,0,3,7,4,5,2,2,1
76.3,2,9,1,2,1,3,3,4,1,1
74.3,2,8,1,3,1,3,3,2,2,2
46.6,0,8,1,3,4,3,3,4,2,2
54.1,2,5,0,3,6,3,4,4,6,1
33.1,2,9,1,2,4,4,3,1,6,4
30.4,1,7,1,3,2,2,4,3,4,3
44.3,2,7,1,3,6,2,5,4,2,1
26.3,0,9,0,3,4,4,4,1,5,2
72.4,0,10,0,3,6,5,5,0,2,2
55.6,2,8,0,3,2,4,3,2,2,1
80,4,10,1,3,1,5,5,4,2,2
76.7,2,8,1,3,5,3,3,1,3,2
32.6,0,7,0,3,6,4,4,1,5,2
22.5,0,10,1,3,2,5,5,1,3,2
76.7,2,10,0,2,4,5,5,1,3,2
66.5,1,8,1,3,7,3,3,3,6,3
75.6,2,8,1,3,6,4,4,4,4,3
29.3,0,8,0,3,4,3,3,4,2,2
76.9,4,7,0,3,1,3,3,2,1,1
19.8,0,10,0,3,4,4,5,3,6,1
53.3,4,10,0,3,4,4,4,4,6,4
70.9,0,9,1,1,2,2,3,2,6,4
56.6,4,7,0,3,2,2,2,4,1,1
26.4,0,8,1,3,6,3,5,4,1,1
42.6,3,9,1,3,4,4,5,1,4,2
23.9,0,8,0,3,6,4,3,1,1,1
33.3,1,10,1,1,4,5,5,4,2,2
31.8,1,10,0,2,6,4,4,2,2,2
80,5,8,0,3,4,4,3,1,3,3
67.8,2,9,1,2,4,4,4,4,3,3
49.8,1,8,1,3,7,4,5,3,6,6
63.4,4,10,0,3,6,5,3,2,4,3
48.8,0,8,1,3,4,5,5,3,1,1
47.3,3,9,1,3,2,4,4,1,6,4
47.1,0,8,0,3,2,2,2,1,1,1
73.5,5,7,0,3,2,3,3,4,2,1
31.4,1,10,0,3,5,5,5,4,5,2
66.8,0,5,0,3,7,2,2,2,1,1
50.3,2,8,0,3,4,4,3,4,6,2
27.7,0,9,0,3,2,4,4,3,3,2
65.3,3,8,0,2,1,3,4,2,5,1
72.9,4,8,1,2,4,3,4,2,2,2
42.8,0,9,1,3,4,2,5,1,3,3
19.5,0,10,0,3,2,4,5,4,2,1
33.1,3,7,1,2,3,4,4,1,6,3
50.5,0,7,1,3,4,4,4,2,4,1
74.2,1,9,0,3,2,3,3,4,2,1
36.1,0,9,0,3,6,3,5,4,2,2
66.7,4,6,0,3,4,4,5,4,2,1
65.6,3,9,1,3,2,4,5,2,5,5
80,5,10,0,3,3,2,3,2,2,2
64.3,2,6,0,2,6,2,3,1,3,2
72.3,1,9,1,3,1,3,3,2,2,1
44.4,0,10,1,3,2,3,5,1,3,3
75.2,2,7,1,3,1,1,3,3,2,2
67.8,2,9,1,3,7,4,4,1,6,4
79.7,1,7,0,3,2,2,3,4,1,1
20.8,0,8,0,3,2,4,3,2,1,1
32.3,0,8,1,3,4,3,3,4,3,1
37.6,2,8,0,1,4,4,5,2,3,3
63.9,0,9,1,3,3,4,4,3,5,3
38.4,3,8,0,3,4,2,2,1,3,3
32,1,9,1,2,1,4,4,4,2,1
59.3,2,8,1,2,3,2,3,1,3,2
35.2,2,10,1,3,7,4,5,4,3,2
80,3,10,1,3,2,5,4,4,3,3
44.9,3,7,1,3,2,3,3,4,6,5
68.7,2,8,0,3,4,3,4,4,2,2
54.6,2,8,1,3,3,3,3,1,6,5
58.3,2,7,1,3,2,4,4,4,2,1
49.7,2,7,0,3,4,3,3,4,1,1
39.4,2,10,0,3,3,4,5,3,4,2
66.2,2,8,0,1,3,2,3,3,3,1
44,3,2,0,3,2,4,3,3,3,3
64.6,1,8,1,3,2,2,4,1,2,1
55.2,1,10,1,3,2,3,1,1,5,4
64.7,3,6,0,3,6,3,3,4,6,1
67.3,2,6,0,3,1,3,3,2,2,1
80,2,8,0,3,6,2,5,4,2,2
48,2,8,0,2,3,3,5,1,3,2
77,2,10,1,3,6,5,5,2,2,2
53.7,3,9,1,3,6,5,5,1,6,6
51,0,8,0,3,3,2,3,1,4,4
69.8,3,10,1,3,6,4,5,4,4,3
18.9,0,8,0,3,2,4,4,3,4,1
58.1,0,9,1,3,2,3,5,3,1,1
64.7,2,5,0,3,6,5,5,4,5,1
51.7,2,10,0,3,4,4,5,4,2,2
56.8,3,5,0,2,6,2,2,4,6,4
33.3,1,9,1,3,6,5,5,1,5,3
80,3,10,0,3,2,3,3,1,2,2
38.3,0,7,1,3,2,4,4,3,5,5
33.8,2,6,0,3,4,4,3,1,6,5
56.5,2,7,0,2,5,4,4,3,5,2
74.7,3,8,1,3,1,2,3,2,6,1
33.1,0,7,0,3,2,4,3,1,2,1
78.2,3,8,1,3,2,3,4,2,3,2
15.2,0,8,0,3,1,5,5,3,3,1
17.3,0,9,0,2,1,4,4,4,6,1
67,0,10,0,3,1,4,5,1,3,2
20.8,0,7,1,3,2,2,2,2,1,1
80,4,8,1,3,5,3,3,4,4,3
47.3,3,8,1,3,4,5,5,1,6,6
61.6,3,9,0,3,1,2,5,4,2,1
78.4,0,10,0,3,1,1,5,4,1,1
78.8,3,8,0,3,2,2,4,2,1,1
62.2,0,9,1,3,3,4,3,4,2,2
71.4,2,7,1,3,4,3,4,1,5,4
58.4,2,10,1,1,4,4,5,4,6,3
44,3,10,0,2,2,4,4,2,6,2
66.6,2,7,0,3,2,5,4,4,3,1
43.6,4,9,0,3,4,4,3,1,3,3
71.6,3,10,0,3,4,3,3,4,2,1
49.3,1,6,1,3,6,3,3,3,5,2
22.8,0,8,1,3,2,5,5,1,1,1
60.9,5,8,0,3,2,4,4,4,4,3
59.2,3,9,1,3,6,4,4,1,3,2
53.3,1,8,1,3,6,5,5,3,3,1
64.6,2,8,0,3,7,5,4,4,6,3
63,3,8,1,3,7,4,4,1,6,6
70.3,0,10,0,2,4,5,5,4,3,1
74.4,2,8,1,3,1,3,3,2,6,3
17.5,0,8,1,3,1,4,4,1,1,1
65.9,2,7,0,3,2,4,4,3,2,1
51.8,1,10,1,3,6,3,3,3,6,4
66.8,0,9,0,3,2,4,4,4,1,1
50.4,1,6,1,3,4,4,4,2,4,2
42.2,0,8,0,3,4,4,4,2,2,2
25.3,0,8,1,3,2,4,5,1,2,2
64.5,0,7,0,2,1,2,2,2,1,1
45.2,3,5,0,3,2,3,3,2,4,1
28.7,0,4,1,3,6,4,4,4,1,1
45.7,1,8,0,3,4,4,3,4,3,2
76.1,1,7,1,3,2,2,3,2,3,3
41.2,7,8,0,3,4,3,4,2,3,2
27.1,0,10,1,3,6,5,5,1,5,5
71.3,0,8,0,2,1,3,5,2,1,1
58,3,8,0,3,2,4,4,3,6,3
59.4,0,10,0,3,6,5,5,1,6,6
36.3,1,6,1,3,4,4,4,2,4,4
26.1,0,9,1,3,3,5,4,3,4,4
80,2,8,1,3,1,3,3,2,3,2
56,2,5,1,2,2,2,5,2,3,1
59.5,2,8,0,3,4,3,3,4,1,1
34.7,0,7,0,3,4,3,4,2,4,3
65.4,3,8,0,2,1,2,2,3,2,1
63.7,1,10,0,1,6,5,5,4,4,2
76.7,3,10,1,2,3,3,5,2,2,1
62.4,2,9,0,3,2,4,4,1,3,1
34.1,2,9,0,2,7,5,5,2,5,3
37.3,3,9,1,3,4,4,5,1,6,6
44.7,2,7,1,3,6,3,3,2,6,6
62.3,0,10,1,3,2,3,4,1,6,6
66.3,2,8,1,3,4,3,3,2,4,3
32.9,3,9,0,3,4,5,4,1,5,3
61,2,7,0,3,2,3,4,4,1,1
53.8,2,10,1,3,2,4,5,2,5,1
49.6,2,10,1,3,6,5,5,2,6,5
59.9,4,8,0,3,7,4,4,2,6,4
25.3,0,8,1,3,1,3,3,3,1,1
31.2,0,10,1,3,6,3,3,2,3,3
71,2,5,0,3,3,3,3,2,2,1
80,1,10,0,3,2,4,4,4,4,4
29.2,2,10,1,3,2,5,5,1,3,1
36.5,2,8,1,3,4,3,4,2,3,3
54.8,1,6,1,3,4,2,2,4,4,3
57.2,3,8,1,3,1,5,3,3,3,2
72.4,4,9,1,3,2,2,2,4,4,3
60.1,3,8,1,3,6,4,4,2,3,3
59.4,2,8,1,3,3,3,3,2,4,3
75.8,2,8,1,2,5,2,4,4,4,3
58.6,4,5,0,3,6,3,4,4,4,2
43.9,0,7,1,3,4,4,2,2,3,3
58.1,2,8,1,3,6,3,5,2,6,5
26.4,0,9,1,3,7,5,4,1,2,1
32.4,1,6,0,1,6,4,3,2,6,2
78.2,0,8,1,3,3,4,4,2,2,2
36.2,3,10,0,3,4,5,5,2,6,6
35,1,5,1,3,2,4,5,4,3,3
21.7,0,9,1,3,4,4,4,3,6,1
41.2,0,4,1,3,2,3,4,2,1,1
53.3,0,9,1,3,4,2,3,2,3,3
67.4,1,10,0,1,4,4,4,2,1,1
72.8,0,10,1,2,1,4,4,2,2,1
76.6,0,8,0,2,6,4,5,4,3,3
37.9,1,7,1,3,6,4,4,1,6,6
34.9,1,8,1,3,6,4,4,3,3,3
33.8,3,10,0,3,6,5,4,2,6,4
19.5,0,8,1,3,2,3,4,1,6,1
80,2,10,0,3,1,2,5,4,1,1
72.1,4,4,1,1,1,1,2,4,3,1
71.6,5,8,1,2,1,3,5,1,2,2
53.2,4,10,1,2,6,4,4,3,6,6
52,0,6,1,2,1,1,3,4,2,2
47.5,0,10,1,2,3,4,5,3,6,6
69.8,2,8,0,3,2,4,4,3,6,4
58.8,0,4,0,3,1,2,3,4,1,1
18.3,0,8,1,3,1,4,4,2,5,1
58.3,2,10,1,3,2,3,3,2,5,3
25.1,1,6,0,3,6,5,5,4,2,1
53.4,2,10,1,2,1,2,5,2,1,1
38.2,1,6,1,3,6,4,4,3,4,4
42.1,3,7,0,3,6,5,3,4,5,4
72.8,4,8,0,3,1,3,3,4,1,1
76.2,3,10,0,2,4,5,5,4,4,2
48.6,2,8,0,3,4,5,5,4,5,3
26,0,9,0,2,4,3,3,2,4,2
67.8,2,8,0,3,2,3,3,4,3,3
61.2,5,10,0,1,2,5,5,4,3,1
67.8,0,5,1,2,4,4,5,4,6,6
80,5,10,0,2,1,4,4,4,1,1
54,0,10,1,2,1,5,5,4,2,2
18.6,0,7,0,3,1,3,1,2,3,1
80,2,8,1,3,2,3,5,2,2,2
16.9,0,7,0,3,1,5,4,3,5,1
58.8,2,9,0,3,1,5,5,4,3,3
74.9,0,8,0,3,3,3,4,4,2,2
56.6,2,7,1,3,7,5,5,2,6,6
61.1,3,8,0,2,2,4,5,2,2,1
44.4,0,8,1,3,7,3,4,1,5,5
62.8,2,7,1,2,1,3,3,1,3,2
68.9,3,8,1,3,5,4,3,3,3,3
62.9,3,6,0,2,4,5,5,1,2,2
58,0,8,0,3,6,4,4,1,4,4
58.8,3,10,0,3,4,4,5,4,4,2
76.4,3,10,0,3,2,4,3,4,1,1
20.5,0,7,1,3,2,3,3,2,3,1
43.8,0,9,0,3,6,4,5,4,3,3
23.8,0,8,1,3,6,5,3,1,6,1
71.6,2,8,1,3,3,3,5,3,3,1
33.9,0,9,0,3,6,5,5,2,3,3
41.1,0,5,0,3,7,4,4,4,1,1
49.5,4,8,1,3,6,4,4,3,3,3
54.1,2,7,0,3,7,5,5,4,6,4
76.3,2,8,0,2,5,4,3,4,1,1
33.1,1,8,0,1,2,4,4,1,3,2
66.1,3,7,0,3,7,3,3,4,4,4
79.5,7,10,0,3,4,5,3,4,2,2
64.4,4,8,0,3,4,5,5,4,3,3
29.8,0,9,1,1,4,3,3,3,1,1
31.6,0,8,1,3,6,3,3,2,2,2
74.1,3,10,0,1,2,3,4,4,1,1
66.4,3,10,0,3,6,4,3,1,5,4
80,6,8,0,3,1,3,4,2,1,1
40,1,8,0,3,6,4,4,3,5,5
63.5,6,7,0,1,4,3,3,4,1,1
43.9,0,7,1,3,6,4,4,4,4,4
51.2,2,10,0,3,1,4,2,2,5,2
46.3,2,8,0,2,2,4,4,4,4,3
62.6,3,3,1,3,1,1,2,1,1,1
66,3,5,0,3,1,1,4,1,3,3
61.7,4,10,0,2,4,2,5,1,3,1
76.8,3,7,1,2,2,5,5,2,2,2
25.5,0,7,0,3,4,3,3,2,1,1
32.9,2,7,0,3,6,4,5,1,6,3
56.8,2,6,1,3,4,3,2,1,1,1
60.2,2,10,0,1,2,2,3,4,4,2
39.2,2,7,0,1,4,4,2,2,4,3
52.1,2,3,0,3,2,1,1,4,1,1
66.3,2,9,0,3,7,5,5,4,6,6
41.9,2,5,0,3,7,3,5,2,6,2
33.1,1,8,1,2,1,4,4,2,2,2
46.5,0,8,0,2,4,1,5,1,2,2
63.2,2,6,1,3,2,2,3,1,3,2
26.8,0,7,0,3,6,5,4,1,3,3
30.8,0,9,0,3,6,3,3,4,3,1
55.5,1,10,1,3,6,5,5,3,2,2
51.7,0,7,0,3,7,4,4,4,3,3
30.6,2,10,0,3,6,5,5,1,6,3
61.8,0,8,1,3,4,1,5,2,1,1
54.8,3,10,0,3,1,2,4,4,2,1
79.4,6,10,0,2,1,3,0,4,2,2
80,3,7,0,3,1,2,2,2,1,1
66.8,0,9,0,2,2,3,4,4,2,1
50.6,0,10,1,3,2,3,4,3,5,3
80,3,9,0,3,5,3,3,4,6,4
47.8,3,10,1,2,2,5,5,4,2,2
80,3,8,0,2,6,4,4,2,6,6
50.2,2,9,0,2,1,4,4,4,2,1
43.8,2,6,0,3,6,3,3,1,6,3
60.3,2,5,1,2,1,3,1,2,1,1
31.4,0,10,0,3,3,5,5,3,3,3
60.3,2,8,0,3,2,3,4,3,2,2
46.7,3,10,0,3,4,3,3,2,4,3
47.1,3,10,0,3,7,4,4,2,6,6
62.4,2,10,0,3,4,5,5,2,3,2
22.4,0,8,1,1,2,3,3,1,3,1
55.7,0,10,0,3,2,2,4,2,1,1
25.1,0,10,0,3,6,5,5,2,2,1
66.5,3,9,0,3,2,3,3,4,6,2
62.9,2,7,0,3,1,2,2,3,2,1
20.4,0,7,1,2,3,3,3,3,4,2
80,3,9,0,3,3,3,4,4,2,2
38.3,0,7,1,3,4,4,4,4,3,3
55.9,2,10,1,3,6,5,5,2,6,2
17.1,0,10,0,2,1,5,5,2,6,1
51.1,0,8,0,2,3,4,4,4,6,6
24.9,0,7,1,3,6,3,3,3,6,1
54.4,0,4,0,3,2,2,2,4,3,3
50.4,0,5,0,1,4,2,2,2,2,2
30,1,9,0,3,4,3,3,0,4,1
37.7,0,10,1,3,6,5,5,0,3,3
36.7,0,6,1,3,6,3,3,1,3,3
24.8,0,7,1,3,2,4,2,1,6,1
46.6,1,7,1,3,6,4,4,4,6,6
41.3,2,7,1,3,4,4,1,2,5,3
39.7,0,7,1,3,4,2,3,1,4,3
47.9,3,10,1,3,2,3,4,3,3,1
51.1,3,8,1,3,2,4,4,0,6,4
38.4,2,8,0,3,7,3,3,4,5,1
42.9,3,8,1,2,4,4,4,1,6,3
78.7,3,10,0,3,2,4,4,4,6,1
47.8,0,7,1,3,6,5,5,2,2,2
44.1,2,6,0,3,4,2,2,1,6,3
35.6,3,7,0,3,4,4,3,1,5,5
67.3,3,8,1,3,3,4,4,4,3,2
45.8,0,2,0,3,6,2,3,2,2,1
46.3,2,9,1,3,6,4,5,1,6,4
70.5,2,8,0,1,2,2,3,4,3,2
25.6,0,9,0,3,2,5,5,4,4,2
16.8,0,7,0,3,1,4,3,0,6,2
62.2,2,8,0,1,1,2,3,2,3,2
28.3,0,8,1,3,4,4,3,1,2,2
23.2,0,10,0,3,6,4,4,4,1,1
22.9,0,7,0,3,4,4,4,2,6,1
80,6,8,0,3,2,3,5,2,1,1
39.7,0,7,1,3,2,3,5,1,1,1
49.1,2,8,0,1,4,5,4,2,6,3
35.8,2,8,0,3,6,3,3,4,2,2
35.9,3,6,0,3,6,4,3,3,2,2
16.6,0,10,0,3,1,5,5,4,6,1
75.2,2,8,1,2,7,4,0,4,6,2
25.5,0,9,1,3,6,4,4,2,6,5
57.3,0,7,1,3,6,3,3,3,5,5
47.6,0,10,0,2,4,5,5,3,6,3
53.4,0,8,0,3,4,5,4,2,6,6
36.3,2,8,0,3,6,4,4,2,5,3
76.8,1,10,0,3,4,4,5,1,2,1
31.8,0,8,0,3,6,5,4,3,2,2
51.5,0,3,0,3,2,2,2,4,3,1
62.3,0,10,0,3,2,4,5,1,6,5
28.3,0,7,0,3,4,4,5,3,2,2
18.2,0,7,0,3,2,3,1,4,6,1
58.5,3,4,0,3,2,2,1,3,6,2
47.1,1,9,1,3,4,5,5,2,6,3
73.3,1,8,0,3,4,3,3,4,1,1
29.5,0,7,1,3,1,3,3,4,1,1
74.1,4,8,1,2,1,2,4,1,3,2
30.7,0,8,0,3,6,4,5,4,1,1
45.8,1,10,1,3,4,5,4,3,5,2
41.5,1,10,1,3,4,5,5,4,3,2
30.9,1,10,0,2,4,5,3,2,2,2
58.1,2,8,0,3,6,4,4,4,6,1
38.6,1,6,0,3,4,4,4,4,3,2
57.8,1,8,0,3,6,4,4,3,4,4
70.3,2,8,1,3,3,3,5,1,1,1
29.4,2,6,1,2,3,4,4,3,4,2
45.2,0,7,0,3,6,5,3,2,6,5
62.9,2,10,0,3,4,3,5,4,1,1
50.9,1,10,0,3,4,4,3,4,4,2
45,0,9,0,3,6,4,5,4,1,1
45.8,2,8,1,3,5,4,5,2,6,6
53.8,1,8,1,3,2,5,5,4,1,1
48.3,2,9,1,3,3,3,4,2,6,6
55.5,2,9,0,3,7,4,4,2,6,6
48.3,0,6,1,3,4,3,2,1,6,6
70.7,2,8,1,3,4,5,5,2,5,2
60.2,0,9,1,3,2,3,5,2,3,2
31.8,0,8,1,2,2,4,3,4,2,2
61.3,2,9,0,3,7,4,5,4,6,5
80,3,8,0,3,4,3,4,4,2,2
57,2,9,0,2,6,5,4,4,3,1
55.9,0,5,1,3,4,3,3,0,2,2
44.5,2,5,0,2,4,3,3,2,3,2
45.7,0,4,0,3,4,4,4,4,6,1
58.8,3,8,1,3,2,3,4,2,2,2
61.3,2,10,0,3,1,4,5,4,1,1
49.1,2,6,0,3,7,5,4,4,4,4
30.2,2,7,0,3,4,4,4,3,2,1
74.8,3,10,1,3,6,4,4,2,6,5
80,2,8,1,3,6,3,4,4,5,4
59.7,3,8,1,2,2,4,4,2,3,3
61.5,0,7,0,3,7,3,3,2,3,3
60.5,0,8,0,3,2,3,3,2,4,2
58.6,2,8,0,2,6,4,3,3,6,3
40.3,3,9,0,3,3,4,4,2,6,5
70.6,4,9,1,3,6,3,5,4,4,3
32.8,3,7,0,3,6,4,3,3,6,3
69,0,8,1,3,6,3,4,3,4,3
73.6,3,10,0,3,4,5,5,4,4,2
38.3,7,10,0,2,2,3,4,4,5,3
79.7,1,6,0,3,4,5,4,4,1,1
71,1,10,0,3,4,5,5,4,2,2
70,3,9,0,2,1,2,5,4,2,2
38.7,0,9,1,3,7,4,5,4,6,3
71.8,1,8,0,3,7,2,3,4,1,1
26.5,0,7,0,3,6,4,2,2,6,3
69,5,8,1,3,2,3,4,2,6,1
62.8,2,8,1,3,6,3,3,3,4,4
16.4,0,8,1,3,1,4,5,4,5,1
39.5,1,9,1,3,6,3,3,3,6,4
26.4,0,9,0,3,6,4,4,1,6,1
51.7,2,9,0,3,4,5,5,2,6,4
67,1,8,0,3,5,3,3,4,4,3
45.7,1,7,1,2,3,3,2,2,4,3
57.3,0,9,1,3,6,4,3,4,5,3
22.8,0,6,0,3,6,3,4,1,3,3
44.3,3,8,1,3,7,4,4,3,5,5
55.7,3,6,0,3,1,2,4,2,3,3
41.4,3,5,0,3,1,2,3,1,1,1
52.8,1,10,1,3,4,4,4,2,3,3
61.4,2,10,0,3,2,4,4,4,2,2
32.3,0,7,1,3,3,5,5,1,2,2
63.5,1,10,0,3,4,5,5,4,5,2
54.1,2,7,1,1,4,4,3,1,6,6
71.6,2,9,0,3,6,4,3,2,4,1
80,1,10,1,3,1,3,4,4,6,2
80,3,7,0,3,4,2,2,2,6,6
28.2,0,7,0,3,6,4,4,2,3,3
50.3,3,10,1,3,2,5,4,4,4,2
46.3,1,10,1,2,1,5,4,3,1,1
70.5,2,8,1,2,3,2,3,2,3,2
63.8,3,10,0,3,6,5,5,4,6,3
63.3,3,9,0,2,2,4,4,4,3,1
65.4,2,9,0,3,3,5,5,4,1,1
50.3,2,8,1,3,2,5,4,2,6,4
27.4,0,9,1,3,6,5,5,1,6,2
61.8,1,5,1,3,1,4,3,4,2,2
61.1,3,8,1,3,7,3,3,2,6,6
25.2,0,9,0,3,5,5,5,2,2,1
29.8,0,9,1,2,3,5,5,3,4,4
80,6,8,0,3,1,3,4,4,2,2
77.8,5,10,1,3,6,3,3,2,6,4
61.3,0,8,1,3,2,4,5,3,2,2
40.3,1,10,1,3,1,5,5,1,5,4
66.3,3,8,0,2,2,2,3,4,2,1
74.8,2,8,0,3,2,3,4,2,3,3
21.1,0,10,1,3,1,5,5,3,1,1
67.3,4,9,1,3,1,3,3,4,3,3
56.1,0,5,0,2,4,3,3,2,2,2
38.5,0,8,0,3,4,4,4,1,4,4
66.3,2,9,0,2,7,5,3,1,6,6
80,3,6,1,2,4,2,3,4,3,3
60.8,2,10,1,3,3,3,3,2,6,1
72.1,3,10,1,3,6,4,4,2,3,3
37,0,4,1,3,5,5,5,1,2,2
53.8,2,10,1,3,2,3,4,4,5,5
68.4,0,8,0,3,6,1,3,1,2,2
41.7,0,6,1,3,6,4,3,4,2,2
62.6,0,8,0,3,7,5,4,4,3,3
37.1,0,9,0,3,4,5,2,3,3,2
30.9,0,7,1,3,6,4,2,1,6,3
65.9,2,8,0,3,1,4,3,4,2,1
53.5,2,9,0,3,7,4,4,1,6,3
64,3,7,0,3,2,2,2,4,2,2
49.3,3,7,0,3,4,5,5,3,2,2
80,5,7,0,3,7,3,4,3,3,3
70.4,3,8,0,1,2,4,4,4,1,1
79.3,0,8,0,2,1,2,3,4,1,1
65,3,6,0,2,4,4,4,4,3,2
49.7,2,9,0,2,1,4,5,2,3,1
57.1,7,8,1,3,3,2,3,4,6,5
62.1,2,9,0,3,4,5,5,1,4,1
44.6,3,10,1,3,3,3,4,4,3,3
32.8,1,10,0,3,4,4,4,4,3,3
47,0,9,0,3,4,5,5,4,5,5
55.2,3,10,0,3,2,4,4,4,6,1
42.1,3,10,0,3,6,3,4,2,6,4
15.5,0,4,0,3,1,5,2,3,6,1
69.2,3,6,0,2,4,2,2,2,2,2
74.9,2,9,0,2,7,1,4,4,4,4
60.6,0,7,0,3,2,4,4,2,3,3
74.9,4,10,0,3,4,4,4,2,1,1
47.2,3,9,0,2,6,4,5,4,2,1
50.1,1,8,0,3,6,4,5,2,1,1
34.3,2,7,1,2,2,3,4,2,3,2
43,2,9,0,3,7,4,4,2,6,1
21.1,1,10,0,3,2,3,5,3,1,1
64.8,3,10,1,2,7,4,4,3,5,3
57.7,1,8,1,3,5,4,5,3,6,6
54.3,1,8,0,1,2,4,4,2,2,2
18.6,0,7,0,3,2,3,4,4,2,1
46.3,1,9,0,3,4,3,5,4,3,1
33.1,2,10,1,2,2,5,5,3,3,2
45.2,2,7,1,3,6,4,4,2,3,2
17,0,8,0,3,1,4,4,1,6,2
72.8,2,10,1,3,2,5,5,1,3,2
30.2,2,9,1,3,2,4,3,1,5,2
35.7,2,10,0,3,7,3,5,4,6,3
53.8,0,8,1,3,6,4,4,4,2,2
20.5,0,8,1,3,2,4,5,2,6,1
39.8,3,7,0,1,4,4,4,2,4,2
66.9,1,8,0,3,2,5,5,4,2,2
61.5,3,9,0,3,3,3,4,1,2,1
40.9,2,8,1,2,6,4,4,3,6,4
80,5,5,0,3,2,4,5,4,1,1
67.7,4,5,1,3,1,1,2,4,3,1
67.7,2,8,0,3,6,4,3,0,4,3
56.1,3,5,1,3,1,3,3,1,2,1
51.8,1,8,0,2,2,4,5,4,2,2
27.8,0,7,0,3,6,5,5,1,3,3
34.5,1,10,1,3,5,4,5,2,5,2
26.6,4,8,0,2,3,3,3,3,3,2
56.8,2,8,1,2,2,4,3,2,6,3
80,4,9,1,3,3,4,5,4,2,2
78.1,3,9,0,3,1,2,4,2,2,1
40.8,4,8,0,3,4,5,4,2,6,3
53.6,1,8,1,1,2,4,3,2,5,3
31.7,0,8,0,3,4,5,4,3,5,2
55.8,2,8,0,2,2,1,4,4,3,1
61.9,4,6,1,2,1,2,3,2,3,2
40,2,8,0,2,2,4,3,2,1,1
69.3,0,10,0,3,6,5,4,4,5,5
26.1,0,8,1,2,6,5,4,2,5,5
28.8,0,8,0,3,6,3,5,3,3,3
42.8,3,4,1,3,1,3,1,1,1,1
78.1,3,5,1,3,3,1,1,2,3,2
74.1,2,9,0,3,1,1,5,4,1,1
72.7,3,10,0,3,4,3,4,4,2,2
57.8,1,8,1,3,7,2,2,4,6,3
19.3,0,10,1,3,2,3,5,2,1,1
32.9,0,7,0,3,7,4,3,4,3,3
60.3,2,5,1,3,6,3,3,2,6,4
73.2,1,9,1,3,6,3,4,4,4,3
71.2,4,8,1,2,6,2,4,4,3,3
42.7,2,8,0,3,1,3,4,3,3,2
29.8,0,8,0,3,2,4,5,4,2,2
46.4,2,8,1,3,6,3,3,3,6,5
29.5,0,7,0,3,7,3,3,1,2,2
62.6,1,8,0,3,4,5,5,4,3,3
34.8,0,9,1,3,2,3,4,1,1,1
34.9,4,7,0,3,2,4,5,3,2,2
32.3,2,8,0,2,4,3,3,2,3,1
