age,total_children,feelings_life,sex,pop_center,education,self_rated_health,self_rated_mental_health,regilion_importance,income_family,income_respondent
27.8,0,8,1,3,4,5,5,2,4,2
80,5,0,1,3,1,2,3,1,1,1
39.6,2,8,1,1,5,3,4,4,4,3
30.8,1,9,1,3,5,5,5,4,6,1
69.6,1,10,1,3,7,5,5,2,6,4
56.3,2,6,0,3,6,3,2,3,2,2
76.8,2,8,0,3,1,4,4,4,2,2
30.9,0,8,1,1,6,5,4,3,2,2
80,2,7,1,3,6,3,3,2,4,3
33.3,1,8,0,3,4,4,4,2,5,2
63.8,2,8,0,3,4,4,4,2,3,3
57,0,6,0,3,6,2,3,4,6,1
41.3,0,7,0,3,7,3,3,3,6,4
18.3,0,8,0,3,1,4,3,4,6,1
40.4,1,7,1,3,6,4,3,2,6,4
48.9,0,8,0,3,6,4,5,4,5,3
65.3,0,10,0,3,2,2,4,4,1,1
29.7,0,9,1,1,4,3,3,4,1,1
33.1,0,6,1,3,2,3,4,2,6,1
25.8,0,4,0,3,2,3,2,3,1,1
39.3,4,10,0,3,4,3,5,3,4,1
69.9,0,10,0,3,2,3,5,2,2,2
67.1,4,9,0,2,2,5,5,4,2,2
31.8,0,6,0,3,4,2,3,2,2,2
61.1,2,5,0,3,4,2,3,2,2,1
65.6,1,9,0,3,7,4,5,3,6,6
59,2,8,1,3,6,4,4,3,4,4
63.3,0,10,0,2,6,5,4,4,3,3
43.9,0,10,1,3,7,4,5,2,6,5
51.3,4,10,0,3,4,3,5,2,3,1
52.9,1,9,0,2,2,4,5,4,6,1
40.6,1,7,0,3,6,2,3,1,6,2
76.6,2,8,0,2,1,3,3,4,2,2
16.7,0,9,0,3,1,5,4,2,6,1
62.3,2,10,1,3,3,4,4,2,6,4
57.2,0,1,1,2,2,1,4,4,1,1
80,7,10,1,2,2,3,3,2,3,3
69.2,5,7,1,3,4,1,5,2,1,1
64.9,0,10,0,3,2,5,5,4,2,2
70.6,2,9,1,3,2,4,5,3,2,2
73.4,2,10,0,2,1,2,0,2,2,1
80,4,10,1,3,1,3,5,4,4,2
67.4,3,9,0,3,2,4,4,4,2,2
61.8,1,7,0,3,2,5,5,1,4,3
67.4,3,7,1,3,2,3,3,2,3,3
47.3,0,5,1,3,6,3,3,3,2,2
52.6,0,8,0,3,6,5,5,2,3,3
20.3,0,5,0,3,2,3,2,3,2,1
31.6,1,9,0,3,6,5,5,1,6,4
78,2,9,1,3,2,2,4,4,3,3
24.3,0,10,0,3,4,4,5,3,1,1
50,1,9,0,3,4,5,4,2,6,3
